,category,sub_category,sub_sub_category,title,description,gender
9267,sports & outdoors,team shop,team accessories,adidas Oklahoma City Thunder Blue/Navy Christmas Day Slouch Adjustable Hat,Top off your outfit with this Oklahoma City Thunder Christmas Day slouch adjustable hat from adidas! It features embroidered graphics on the crown that'll give your outfit the right amount of Oklahoma City Thunder zeal. The adjustable back and curved bill make this sporty Oklahoma City Thunder cap perfect for any casual occasion!,unisex
9268,,None,None,,"""Web exclusive! From the office to downtown, Streetcars Men's """"Ravine"""" Boots take you everywhere in fine style. These versatile leather boots can be paired with denim or khakis to create a sleek look. And youll also experience optimum comfort thanks to padded collars and arch support insoles. For a classic lace-up boot, choose Ravine.    Featured in black     Padded collar     Leather upper     Arch support insole     Imported""",None
9269,clothing,dresses,day dresses,,,womens
9270,clothing,shorts,None,EXPLODED HIBISCUS PRINT SHORT,100% Cotton| Machine Washable| Imported,mens
9271,shoes,sandals,None,,,womens
9273,sports & outdoors,team shop,team clothing,Phoenix Suns '47 Women's Ladies Courtside Long Sleeve T-Shirt - Black,Are you the biggest Phoenix Suns fan that you know? Be prepared to defend that dedicated claim this season when you sport this classic Courtside long sleeve T-shirt from '47. The exciting Phoenix Suns printed graphics will leave no doubt in anyone's mind where your loyalty lies this season. This bold Phoenix Suns T-shirt will make you look and feel like the #1 fan during the next game day.,unisex
9274,sports & outdoors,team shop,team clothing,G-III 4Her by Carl Banks Indianapolis Colts Women's Heathered Gray West Coast Pullover Hoodie,"Are you looking to add some excitement to your collection of cool weather gear this season? Well your search is over, because this amazing Indianapolis Colts West Coast pullover hoodie from G-III 4Her by Carl Banks is the perfect way to revitalize your wardrobe. This cozy Indianapolis Colts hoodie will keep you feeling warm and comfortable while you turn heads with your fresh style!",None
9275,clothing,sweaters,None,Supima Cotton Cashmere Herringbone Half-Zip Sweater,"Over the last few seasons we've been working with one of our mills and we're finally ready to unveil a new yarn. We've taken our beloved American-grown Supima Cotton and twisted it with 15% cashmere to create this luxuriously soft offering.  A reinterpretation of a last year best seller, our herringbone pattern takes two different heather colors and uses them to create this elegant half-zip. Real leather pull. Hand wash or dry clean. Imported.",mens
9276,clothing,dresses,None,"Label by 5Twelve Stripe-Print Scuba Dress, Black/Red",Label by 5Twelve stretch-knit scuba dress in stripe and floral print. Bateau neckline. Short sleeves. Sheath silhouette. Back zip. Straight hem. Polyester/spandex. Imported.,womens
9277,sports & outdoors,team shop,team clothing,Coastal Carolina Chanticleers Ash Proud Mascot Long Sleeve T-Shirt,"Get the perfect look to let everyone know you are a stylish Coastal Carolina Chanticleers fan! With eye-catching graphics, this sweet Proud Mascot T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
9278,clothing,tops,dress shirts,Non-Iron Regent Fit Spread Collar Dress Shirt,"Our non-iron dress shirt is crafted from pure American-grown Supima cotton broadcloth and is specially treated to resist wrinkles. The English spread collar provides an ideal frame for more substantial tie knots. Our signature 6-Pleat Shirring at the  barrel cuffs reinforces Brooks Brothers dedication to a well-made dress shirt. Additional features include a center back pleat, which continue the nearly 200 year tradition of Brooks Brothers setting the gold standard in men's dress shirts. Machine wash according to care instructions for best performance. Imported.  The Regent fit is a modern trim fit with chest and sleeves cut slimmer to the body. Also available in Madison and Milano fit.",mens
9280,sports & outdoors,team shop,team clothing,Puerto Rico Personalized Name & Number T-Shirt - Royal,Show off your die-hard love for Puerto Rico with this Personalized Name & Number tee. It features bold country graphics on the front along with the name and number of your choice on the back. It's the perfect way to sport Puerto Rico pride any day of the week.,None
9281,sports & outdoors,team shop,team clothing,Men's Atlanta Braves Nike Navy Long Sleeve Windbreaker,"Dress to impress by showing off this windbreaker from Nike, so everyone will know you root for the Atlanta Braves. Make sure the opposing team's fans know that the Atlanta Braves are #1 in your book!",unisex
9282,clothing,underwear & intimates,underwear,Rafaella No Show Panties Hipster Bikini Bottom,From the No Show Panties Collection  Seamless hipster bikini bottom offers flawless comfort  Cotton gusset  Nylon/spandex  Hand wash  Imported,womens
9283,clothing,pants,None,,Complete your bold look with these faux leather pants from Jones New York.    Featured in black     Five pocket design     Low waist     Belt loops     Button closure     Zip-close back pockets     Polyester / polyurethane     Imported,womens
9284,clothing,shorts,None,Washed Chino Shorts,"It seems obvious, but great pants ought to make great shorts, no? We thought so. Which is why we took the same formula of soft twill fabric and perfect fit from our Washed Chinos, and used it in an amazing pair of summer shorts. No, you don't have to give up your favorite Washed Chinos when the sun comes out. You just have to make them a little bit shorter.",mens
9285,sports & outdoors,team shop,team clothing,Garrett Gilkey Player Issued T-Shirt - Ash,You'll do whatever it takes to show your support for Garrett Gilkey and this NFLPA tee is the perfect way to show everyone your dedication to being his biggest fan. An NFLPA graphic sits just above the player's name and number on the chest of this awesome tee. You'll follow him no matter where he goes and this tee proves it! Rock this tee in the stands and you're sure to make friends with everyone who loves him just as much as you do.,None
9286,clothing,tops,None,PAIGE Lynnea V-Neck T-Shirt,"""Classic casual tee with a hint of stretch  V-neck  Short sleeves  Chest pocket  Pullover style  About 25"""" from shoulder to hem  Viscose/spandex  Machine wash  Made in USA  Model shown is 5'10"""" (177cm) wearing US size Small.""",womens
9287,accessories,luggage & bags,None,"""Bric's Bellagio 32"""" Spinner Trunk""","""From the Bellagio Collection. Featuring a sturdy construction, this trunk is lightweight and is equipped with four double deck spinner wheels for easy of movement. Combination locks secure the trunk, while leather trims add luxury to this versatile travel companion.   Top and side handles  Retractable locking handle   Polyurethane-coated water repellant zip closure  Two inside zip pockets  360-degree four wheel movement  Lined   Makrolon polycarbonate  Trim: Leather  22""""W X 32""""H X 12""""D  Imported""",mens
9288,,None,None,,Unique stretch along the edge of the cups     Side and back offer perfect fit     Won't dig in anywhere     Cushioned camisole straps     Nylon/spandex     Style #: 35145     Imported,None
9289,sports & outdoors,team shop,team clothing,Pittsburgh Steelers Nike Women's Tailgate Vintage Full-Zip Hoodie - Heathered Black,"Don't let the chilly temperatures hinder your fiery Pittsburgh Steelers passion this season! When you throw on this bold Tailgate vintage full-zip hoodie from Nike, you'll stay warm while you promote your favorite team. The vivid Pittsburgh Steelers printed graphics will make sure everyone who sees you knows where your loyalty lies.",None
9290,sports & outdoors,team shop,team kids & baby,La Salle Explorers Infant Navy Big Logo Bodysuit,The days your little one spends with you are sure to be days you will never forget. Get him prepared with the best La Salle Explorers gear possible. Show everyone who your littlest fan already cheers for with this Big Logo creeper! It'll ensure he stays in style with the bold La Salle Explorers graphics. Keep him ahead of his peers by helping him to fall in love with the La Salle Explorers while staying the best dressed cutie anyone's ever seen!,kids
9291,sports & outdoors,team shop,team clothing,Nike Michigan State Spartans Black 2016 College Football Playoff Bound Own the Playoff Long Sleeve T-Shirt,Get the latest in Michigan State Spartans football gear when you grab this College Football Playoffs Bound Own the Playoff T-shirt. Crisp graphics let everyone know you're ready to watch your Michigan State Spartans head to the playoffs. There's no better way to prepare for the College Football playoffs than with this awesome Nike tee.,unisex
9292,,None,None,Priority One - Sun-D3 3000 IU - 90 Vegetarian Capsules,,unisex
9293,,None,None,,,None
9294,sports & outdoors,team shop,team clothing,UNK New Orleans Pelicans Black Ballout Pullover Hoodie,"Nothing is better than having the perfect go-to hoodie in your collection. Once you throw on this New Orleans Pelicans Ballout pullover hoodie from UNK you'll know that it's the one! It features a comfortable cotton and polyester-blended fabric and head-turning, authentic New Orleans Pelicans graphics.",unisex
9295,shoes,slippers,None,"Manolo Blahnik Speed Suede Moccasin Flat, Black","""Manolo Blahnik suede moccasin. 0.3"""" flat heel. Round toe. Contrast whipstitching. Slip-on style. """"Speed"""" is made in Italy.""",womens
9296,clothing,pants,None,Ralph Lauren Rrl Cotton Canvas Cargo Pant Nature Brown 28Wx30l,,mens
9297,,None,None,American Classic Buttercream Frosted Cut-out Cookies,"Individually wrapped and delivered perfect! These classic cookies are guaranteed to liven up your picnic or neighborhood party. Included are our famous buttercream frosted cut-out cookies finished with red, white and blue stars. Our cookies freeze great so stock up for all of your all your activities! OU D.   This special offer cannot be combined with Promotion Codes and Reward Cards.",None
9298,sports & outdoors,team shop,team accessories,Washington Nationals  Bulky Bandz Bracelets - Navy Blue/Red,"Sometimes you need that extra little kick of Nationals flair for the big games! Give your Washington style an extra boost when you sport these fun Bulk Bandz. Each band features repeated, debossed team graphics. They're also slightly stretchy, making them the perfect accessory for Nationals fanatics young and old on game day or any day of the week!",unisex
